customer_id,customer_name,segment,country,signup_date
1,Katherine Torvalds,SMB,DE,2024-09-20
2,Ada Lovelace,Public Sector,DE,2024-06-20
3,Grace Knuth,MidMarket,BR,2024-05-25
4,Donald Hopper,SMB,AU,2023-06-16
5,Linus Lovelace,Enterprise,AU,2024-07-21
6,Tim Borg,SMB,BR,2023-02-12
7,Frances Borg,Public Sector,CA,2025-04-12
8,Donald Thompson,MidMarket,IN,2024-02-15
9,Margaret Allen,Public Sector,JP,2023-07-26
10,Margaret Berners-Lee,SMB,FR,2023-04-09
11,Linus Borg,Public Sector,IN,2024-03-07
12,Margaret Johnson,SMB,BR,2025-06-10
13,Alan Cerf,Enterprise,US,2023-08-16
14,Ada Johnson,SMB,IN,2023-08-26
15,Radia Hopper,MidMarket,IN,2023-04-09
16,Frances Berners-Lee,Public Sector,US,2024-01-28
17,Radia Lovelace,Public Sector,AE,2024-10-11
18,Barbara Liskov,Enterprise,DE,2023-09-27
19,Barbara Perlman,Public Sector,JP,2024-11-22
20,Donald Johnson,Public Sector,IN,2025-01-19
21,Margaret Ritchie,MidMarket,JP,2025-04-27
22,Radia Torvalds,Enterprise,GB,2024-05-15
23,Grace Perlman,Enterprise,DE,2023-08-24
24,Tim Ritchie,Public Sector,JP,2024-10-31
25,Linus Knuth,MidMarket,BR,2024-04-04
26,Anita Berners-Lee,Enterprise,IN,2025-04-29
27,Ken Torvalds,Enterprise,IN,2024-02-14
28,Alan Borg,SMB,JP,2025-03-11
29,Frances Ritchie,SMB,FR,2023-12-01
30,Linus Torvalds,Public Sector,GB,2025-05-11
31,Katherine Borg,SMB,BR,2023-01-01
32,Tim Borg,Enterprise,AE,2023-02-04
33,Dennis Perlman,Public Sector,AU,2024-07-15
34,Radia Ritchie,MidMarket,AU,2025-05-10
35,Tim Thompson,Enterprise,DE,2023-10-22
36,Alan Berners-Lee,SMB,IN,2023-07-19
37,Linus Allen,MidMarket,CA,2023-02-05
38,Margaret Cerf,SMB,AU,2023-09-07
39,Anita Ritchie,Enterprise,FR,2024-02-10
40,Tim Thompson,Enterprise,AU,2024-09-01
41,Grace Lovelace,Public Sector,DE,2023-07-12
42,Donald Johnson,Enterprise,FR,2024-08-30
43,Vint Turing,Enterprise,GB,2025-05-18
44,Anita Torvalds,SMB,AU,2023-12-04
45,Anita Torvalds,Enterprise,GB,2025-02-23
46,Radia Turing,Enterprise,CA,2023-11-17
